100
(
(0 (0 0 0) (0 0 0))
(0.40404 (0.401298 0.952899 0.321827) (4.82741 2.79073 2.00649))
(0.808081 (0.786273 1.8071 0.635266) (9.52899 5.3597 3.93137))
(1.21212 (1.13927 2.47414 0.932149) (13.9822 7.5028 5.69634))
(1.61616 (1.44593 2.88493 1.20474) (18.071 9.04972 7.22963))
(2.0202 (1.69377 2.99691 1.44593) (21.6889 9.87755 8.46886))
(2.42424 (1.87273 2.7985 1.64943) (24.7414 9.92051 9.36363))
(2.82828 (1.97551 2.31024 1.80994) (27.1492 9.17518 9.87755))
(3.23232 (1.99794 1.5827 1.92329) (28.8493 7.7008 9.98971))
(3.63636 (1.93911 0.691238 1.9865) (29.7975 5.61451 9.69556))
(4.0404 (1.80141 -0.271818 1.99794) (29.9691 3.08209 9.00705))
(4.44444 (1.59044 -1.20672 1.95731) (29.3597 0.304768 7.9522))
(4.84848 (1.31478 -2.01664 1.86567) (27.985 -2.49677 6.5739))
(5.25253 (0.985644 -2.61769 1.7254) (25.881 -5.09992 4.92822))
(5.65657 (0.616418 -2.94762 1.54016) (23.1024 -7.29782 3.08209))
(6.06061 (0.22212 -2.97226 1.31478) (19.7217 -8.91584 1.1106))
(6.46465 (-0.181212 -2.68905 1.05513) (15.827 -9.82541 -0.906061))
(6.86869 (-0.577174 -2.12733 0.767988) (11.5198 -9.95425 -2.88587))
(7.27273 (-0.94966 -1.34528 0.460825) (6.91238 -9.29213 -4.7483))
(7.67677 (-1.28352 -0.42389 0.141652) (2.12479 -7.89165 -6.4176))
(8.08081 (-1.56518 0.541401 -0.181212) (-2.71818 -5.8641 -7.82588))
(8.48485 (-1.78317 1.45062 -0.499354) (-7.49031 -3.37059 -8.91584))
(8.88889 (-1.92863 2.20959 -0.804481) (-12.0672 -0.609253 -9.64317))
(9.29293 (-1.99566 2.73971 -1.08864) (-16.3296 2.20049 -9.97828))
(9.69697 (-1.98151 2.98607 -1.34443) (-20.1664 4.83539 -9.90753))
(10.101 (-1.88676 2.92315 -1.56518) (-23.4776 7.08607 -9.43381))
(10.5051 (-1.71528 2.55748 -1.74513) (-26.1769 8.77369 -8.57639))
(10.9091 (-1.47403 1.92692 -1.8796) (-28.194 9.76415 -7.37013))
(11.3131 (-1.17282 1.09679 -1.96508) (-29.4762 9.97875 -5.8641))
(11.7172 (-0.823912 0.153055 -1.99935) (-29.9902 9.40043 -4.11956))
(12.1212 (-0.441492 -0.806529 -1.98151) (-29.7226 8.07517 -2.20746))
(12.5253 (-0.0411152 -1.68258 -1.91202) (-28.6803 6.10824 -0.205576))
(12.9293 (0.360934 -2.38436 -1.7927) (-26.8905 3.65596 1.80467))
(13.3333 (0.748302 -2.83919 -1.62666) (-24.3999 0.913172 3.74151))
(13.7374 (1.10523 -2.99995 -1.41822) (-21.2733 -1.90217 5.52617))
(14.1414 (1.41721 -2.85 -1.17282) (-17.5923 -4.56637 7.08607))
(14.5455 (1.67155 -2.40487 -0.896852) (-13.4528 -6.86773 8.35775))
(14.9495 (1.8579 -1.71066 -0.597509) (-8.96264 -8.62338 9.28948))
(15.3535 (1.96868 -0.839275 -0.282593) (-4.2389 -9.69381 9.84339))
(15.7576 (1.99938 0.119039 0.0396874) (0.595311 -9.99397 9.99692))
(16.1616 (1.94877 1.06502 0.360934) (5.41401 -9.50001 9.74385))
(16.5657 (1.81889 1.9007 0.672773) (10.0916 -8.25118 9.09446))
(16.9697 (1.61503 2.53952 0.967078) (14.5062 -6.34671 8.07517))
(17.3737 (1.34549 2.91531 1.23618) (18.5427 -3.93793 6.72743))
(17.7778 (1.02121 2.98915 1.47306) (22.0959 -1.21624 5.10606))
(18.1818 (0.655401 2.75341 1.67155) (25.0732 1.60209 3.27701))
(18.5859 (0.262934 2.23248 1.82647) (27.3971 4.29312 1.31467))
(18.9899 (-0.140228 1.48033 1.93379) (29.0069 6.64301 -0.70114))
(19.3939 (-0.537686 0.574858 1.99071) (29.8607 8.46506 -2.68843))
(19.798 (-0.913275 -0.390153 1.99575) (29.9362 9.61447 -4.56637))
(20.202 (-1.25172 -1.31476 1.94877) (29.2315 9.99991 -6.25859))
(20.6061 (-1.53925 -2.10319 1.851) (27.765 9.59076 -7.69624))
(21.0101 (-1.76417 -2.67378 1.70499) (25.5748 8.41953 -8.82086))
(21.4141 (-1.91734 -2.96745 1.51454) (22.7181 6.57928 -9.58671))
(21.8182 (-1.99253 -2.95377 1.28462) (19.2692 4.21624 -9.96263))
(22.2222 (-1.98667 -2.63416 1.02121) (15.3182 1.51818 -9.93333))
(22.6263 (-1.9 -2.04172 0.731192) (10.9679 -1.30051 -9.50001))
(23.0303 (-1.73606 -1.23782 0.422115) (6.33173 -4.01587 -8.68029))
(23.4343 (-1.5015 -0.305712 0.102037) (1.53055 -6.41212 -7.50751))
(23.8384 (-1.20588 0.658059 -0.220701) (-3.31051 -8.29887 -6.02938))
(24.2424 (-0.861202 1.55367 -0.537686) (-8.06529 -9.52619 -4.30601))
(24.6465 (-0.4815 2.28837 -0.840658) (-12.6099 -9.99656 -2.4075))
(25.0505 (-0.082213 2.78605 -1.12172) (-16.8258 -9.6726 -0.411065))
(25.4545 (0.320417 2.99518 -1.37355) (-20.6032 -8.58006 1.60209))
(25.8586 (0.710015 2.89408 -1.58957) (-23.8436 -6.80574 3.55008))
(26.2626 (1.07073 2.49324 -1.76417) (-26.4626 -4.49064 5.35367))
(26.6667 (1.3879 1.83417 -1.89279) (-28.3919 -1.81871 6.93952))
(27.0707 (1.64862 0.985126 -1.97208) (-29.5812 0.997727 8.2431))
(27.4747 (1.84228 0.0340511 -1.99997) (-29.9995 3.73489 9.21142))
(27.8788 (1.96101 -0.92055 -1.97573) (-29.636 6.17528 9.80507))
(28.2828 (1.99998 -1.77981 -1.9) (-28.5 8.12498 9.99991))
(28.6869 (1.9576 -2.45473 -1.77475) (-26.6213 9.42907 9.78802))
(29.0909 (1.8356 -2.8754 -1.60325) (-24.0487 9.98392 9.17802))
(29.4949 (1.63894 -2.99826 -1.38996) (-20.8494 9.74545 8.19472))
(29.899 (1.37562 -2.81059 -1.14044) (-17.1066 8.73261 6.8781))
(30.303 (1.05635 -2.33181 -0.861202) (-12.918 7.02588 5.28174))
(30.7071 (0.694108 -1.61153 -0.559517) (-8.39275 4.76086 3.47054))
(31.1111 (0.303637 -0.724328 -0.243249) (-3.64873 2.11755 1.51818))
(31.5152 (-0.0991843 0.23789 0.0793591) (1.19039 -0.694017 -0.495921))
(31.9192 (-0.497971 1.17547 0.399899) (5.99848 -3.45044 -2.48986))
(32.3232 (-0.876504 1.9913 0.710015) (10.6502 -5.93269 -4.38252))
(32.7273 (-1.21939 2.60089 1.00163) (15.0244 -7.94353 -6.09693))
(33.1313 (-1.51267 2.9411 1.26713) (19.007 -9.32318 -7.56336))
(33.5354 (-1.74443 2.97669 1.49961) (22.4942 -9.96201 -8.72215))
(33.9394 (-1.90524 2.70397 1.69301) (25.3952 -9.80925 -9.52619))
(34.3434 (-1.98855 2.1512 1.84228) (27.6342 -8.87705 -9.94276))
(34.7475 (-1.99099 1.37563 1.94354) (29.1531 -7.23948 -9.95493))
(35.1515 (-1.91244 0.457572 1.99414) (29.9121 -5.02667 -9.56219))
(35.5556 (-1.75611 -0.507874 1.99277) (29.8915 -2.41443 -8.78053))
(35.9596 (-1.52835 -1.42072 1.93946) (29.0919 0.389661 -7.64173))
(36.3636 (-1.23842 -2.18642 1.8356) (27.5341 3.16279 -6.19211))
(36.7677 (-0.898128 -2.72566 1.68391) (25.2586 5.6846 -4.49064))
(37.1717 (-0.521304 -2.9826 1.48832) (22.3248 7.75471 -2.60652))
(37.5758 (-0.123276 -2.93062 1.25394) (18.8092 9.20863 -0.61638))
(37.9798 (0.279766 -2.57512 0.986886) (14.8033 9.93084 1.39883))
(38.3838 (0.671428 -1.9529 0.694108) (10.4116 9.86394 3.35714))
(38.7879 (1.03578 -1.12841 0.383239) (5.74858 9.01325 5.17891))
(39.1919 (1.35801 -0.187052 0.0623811) (0.935716 7.44637 6.79003))
(39.596 (1.625 0.77368 -0.260102) (-3.90153 5.2878 8.12498))
(40 (1.82589 1.65428 -0.575807) (-8.6371 2.70906 9.12945))
)
