EXTENDED THIRD MILLENNIUM IDEAL GAS AND CONDENSED PHASE THERMOCHEMICAL DATABASE
FOR COMBUSTION WITH UPDATES FROM ACTIVE THERMOCHEMICAL TABLES
Authors: Elke Goos, Alexander Burcat and Branko Ruscic.

It is strictly forbidden to include this database as is or parts of it in any
commercial software firmware or hardware without permission from the authors.
Contact: Elke.Goos@dlr.de

*WARNING***The original 7-coeficient polynomials can accept molecules
containing only four different elements. The new CHEMKIN program was changed to
accept polynomials with 5 different elements. See the CHEMKIN manual.
Where the fifth element exist, the new Chemkin convention was followed.

THERMO ALL
   200.000  1000.000  6000.000
Ag cr REF ELEMENT T 6/12AG 1.   0.   0.   0.S   200.000  1235.080 1000.        1
 2.07216824E+00 2.46393729E-03-1.34351116E-06 3.69321107E-10 0.00000000E+00    2
-6.37725170E+02-7.18810718E+00 2.25225065E+00 5.43263008E-03-1.32153990E-05    3
 1.50423505E-08-5.94991675E-12-8.23132027E+02-8.86835190E+00 0.00000000E+00    4
Ag liq REF ELEMENTT 6/12AG 1.   0.   0.   0.L  1235.080  6000.000 1235.08      1
 4.04091552E+00-3.49297186E-05 1.60169701E-08-2.96225835E-12 1.92332513E-16    2
-4.77718035E+02-1.78491707E+01 0.00000000E+00 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    4
Ag                g10/97AG 1.   0.   0.   0.G   200.000  6000.000 1000.        1
 2.49722745E+00-5.96378605E-07 7.16732589E-09-4.57774728E-12 7.79345485E-16    2
 3.35216939E+04 6.58031521E+00 2.50000000E+00 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00 3.35200237E+04 6.56281935E+00 3.42653987E+04    4
Ag+               g10/97AG 1.E -1.   0.   0.G   298.150  6000.000 1000.        1
 9.72687035E+00-4.01472180E-03 7.47796464E-07-1.76595533E-11-4.14279861E-15    2
 1.17714726E+05-3.91847888E+01 1.67072904E-01 2.30034783E-02-8.05675031E-05    3
 1.14647031E-07-5.08119362E-11 1.22365909E+05 1.49717871E+01 1.22928919E+05    4
Ag-               g10/97AG 1.E  1.   0.   0.G   298.150  6000.000 1000.        1
 2.50067694E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
 1.76654697E+04 5.86586664E+00 2.50067694E+00 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00 1.76654697E+04 5.86586664E+00 1.84110465E+04    4
AIR               L 9/95  WARNING!         0G   200.000  6000.000 1000.        1
 3.08792717E+00 1.24597184E-03-4.23718945E-07 6.74774789E-11-3.97076972E-15    2
-9.95262755E+02 5.95960930E+00 3.56839620E+00-6.78729429E-04 1.55371476E-06    3
-3.29937060E-12-4.66395387E-13-1.06234659E+03 3.71582965E+00-1.50965000E+01    4
AL(cr) REF ELEME  T 3/10AL 1.   0.   0.   0.S   200.000   933.610  933.61      1
 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
 0.00000000E+00 0.00000000E+00 1.01032822E+00 1.20775640E-02-2.62098556E-05    3
 2.64295083E-08-9.01946533E-12-6.54447545E+02-5.00441242E+00 0.00000000E+00    4
AL(L) REF ELEMEN  T 3/10AL 1.   0.   0.   0.L   933.610  6000.000 1000.        1
 3.83089866E+00-2.09027129E-05 1.04271684E-08-2.04841051E-12 1.39565517E-16    2
-9.97961566E+01-1.75914374E+01 3.82018990E+00-1.67563330E-06 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00-9.57094068E+01-1.75321254E+01 0.00000000E+00    4
AL                g12/97AL 1.   0.   0.   0.G   200.000  6000.000 1000.        1
 2.53152311E+00-4.16002811E-05 2.40955537E-08-7.15420953E-12 8.68511135E-16    2
 3.89410793E+04 5.39170504E+00 3.11146855E+00-3.57363458E-03 8.02692389E-06    3
-7.89637203E-09 2.83934686E-12 3.88641504E+04 2.83632371E+00 3.96896510E+04    4
ALBr              tpis96AL 1.BR 1.   0.   0.G   200.000  6000.000 1000.        1
 4.27049988E+00 4.36579644E-04-2.12408564E-07 5.09687277E-11-3.43793664E-15    2
 4.28891831E+02 4.35441731E+00 3.11722183E+00 7.35326751E-03-1.54704181E-05    3
 1.47356363E-08-5.19350578E-12 5.76675804E+02 9.43592452E+00 1.72289347E+03    4
ALBr2             tpis96AL 1.BR 2.   0.   0.G   200.000  6000.000 1000.        1
 6.96885372E+00-1.38678690E-04 1.17498060E-07-1.81461517E-11 7.58692438E-16    2
